id,school_dbn,school_name,year,regents_exam,total_tested,mean_score,percent_65_or_above
0,01M034,P.S. 034 Franklin D. Roosevelt,2015,Living Environment,16,77.9375,93.75
1,01M034,P.S. 034 Franklin D. Roosevelt,2016,Living Environment,9,74.0,88.888885
2,01M034,P.S. 034 Franklin D. Roosevelt,2022,Common Core Algebra,26,43.153847,7.6923075
3,01M034,P.S. 034 Franklin D. Roosevelt,2022,Living Environment,29,45.655174,13.793103
4,01M140,P.S. 140 Nathan Straus,2015,Living Environment,9,67.44444,66.666664
5,01M140,P.S. 140 Nathan Straus,2016,Living Environment,15,72.6,86.666664
6,01M140,P.S. 140 Nathan Straus,2017,Living Environment,9,64.44444,44.444443
7,01M140,P.S. 140 Nathan Straus,2022,Common Core Algebra,6,73.833336,83.333336
8,01M184,P.S. 184 Shuang Wen,2015,Common Core Algebra,49,78.38776,97.95918
9,01M184,P.S. 184 Shuang Wen,2016,Common Core Algebra,51,78.98039,82.35294
10,01M184,P.S. 184 Shuang Wen,2017,Common Core Algebra,51,84.82353,100.0
11,01M184,P.S. 184 Shuang Wen,2017,Living Environment,55,83.92727,98.181816
12,01M184,P.S. 184 Shuang Wen,2018,Common Core Algebra,31,90.80645,100.0
13,01M184,P.S. 184 Shuang Wen,2018,Living Environment,32,90.15625,100.0
14,01M184,P.S. 184 Shuang Wen,2019,Common Core Algebra,34,89.588234,100.0
15,01M184,P.S. 184 Shuang Wen,2019,Living Environment,38,89.052635,100.0
16,01M184,P.S. 184 Shuang Wen,2021,Common Core Algebra,8,85.25,100.0
17,01M184,P.S. 184 Shuang Wen,2022,Common Core Algebra,76,78.0921,90.789474
18,01M184,P.S. 184 Shuang Wen,2022,Common Core English,34,85.52941,100.0
19,01M184,P.S. 184 Shuang Wen,2022,Living Environment,63,81.666664,98.4127
20,01M188,P.S. 188 The Island School,2015,Common Core Algebra,23,62.913044,39.130436
21,01M188,P.S. 188 The Island School,2016,Common Core Algebra,22,69.045456,72.72727
22,01M188,P.S. 188 The Island School,2016,Living Environment,17,62.058823,47.058823
23,01M188,P.S. 188 The Island School,2017,Common Core Algebra,20,67.45,65.0
24,01M188,P.S. 188 The Island School,2018,Common Core Algebra,19,59.31579,31.578947
25,01M188,P.S. 188 The Island School,2019,Common Core Algebra,51,55.235294,23.529411
26,01M188,P.S. 188 The Island School,2021,Common Core Algebra,38,54.31579,21.052631
27,01M188,P.S. 188 The Island School,2021,Living Environment,34,40.735294,8.823529
28,01M188,P.S. 188 The Island School,2022,Common Core Algebra,37,69.64865,64.86487
29,01M188,P.S. 188 The Island School,2022,Living Environment,40,58.325,27.5
30,01M292,Orchard Collegiate Academy,2015,Common Core Algebra,12,52.25,8.333333
31,01M292,Orchard Collegiate Academy,2015,Common Core English,34,61.5,55.882355
